,0
vitaminD,25.27575539238806
reactiveProtein,15.97892833848032
boneMass,14.945238166403938
hemoglobin,13.644493817273055
extracellularWater,10.88206253195643
extracellularFluid,7.927943085221322
HDL,7.003220097816831
gender,6.267351997806714
hyperlipiidemia,6.226668922920721
totalBodyFatRatio%,5.910276082764789
leanMass%,5.909445911186098
creatinine,5.554152677644191
totalBodyWater,5.4964198450927135
muscleMass,4.3709010412769675
AST,3.8832648538199708
visceralMuscleArea,2.9247920478051306
comorbidity,2.380052169155324
comorbidity,2.380052169155324
triglyceride,2.3009822590800884
ALP,2.2747896727444177
height,2.1819287440687463
totalFat,1.7820592516804705
obesity%,1.7714775979882051
protein%,1.319335349618147
visceralFatRat,1.1083575569525679
coroaryArtDisease,1.065819912459177
coroaryArtDisease,1.065819912459177
glucose,0.9995058320245044
diabetes,0.935590672256351
visceralFatArea,0.8682779162600776
